PM10,apparentTemperature,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,pressure,temperature,uvIndex,visibility,windBearing,windGust,windSpeed,no precip,rain,sleet,snow,Clear,Drizzle,Foggy,Mostly Cloudy,Overcast,Partly Cloudy,hour,day,month
30.02,9.03,0.44,5.03,0.58,0.0,0.0,1033.58,17.41,0.0,6.216,152.73684210526315,23.042499999999997,5.82,1,0,0,0,0,0,0,0,0,1,0,1,1
30.21,4.87,0.44,3.24,0.57,0.0,0.0,1033.86,15.63,0.0,6.216,120.13513513513513,20.747500000000002,8.05,1,0,0,0,0,0,0,0,0,1,1,1,1
29.4,3.62,0.44,3.24,0.62,0.0,0.0,1034.14,13.8,0.0,6.216,144.60204081632654,17.22,6.93,1,0,0,0,0,0,0,0,0,1,2,1,1
28.83,5.83,0.44,3.24,0.57,0.0,0.0,1034.42,15.63,0.0,6.216,144.60204081632654,17.22,6.93,1,0,0,0,0,0,0,0,0,1,3,1,1
27.69,5.62,0.44,2.61,0.6,0.0,0.0,1034.99,14.03,0.0,6.216,148.40650406504065,5.762868852459014,5.29,1,0,0,0,0,0,0,0,0,1,4,1,1
27.28,2.59,0.44,1.4,0.62,0.0,0.0,1035.56,11.99,0.0,6.216,152.73684210526315,23.042499999999997,5.82,1,0,0,0,0,0,0,0,0,1,5,1,1
26.04,6.01,0.44,1.4,0.62,0.0,0.0,1036.13,11.99,0.0,6.216,160.71280276816609,9.73,3.36,1,0,0,0,0,0,0,0,0,1,6,1,1
25.77,0.43,0.0,1.4,0.62,0.0,0.0,1036.213333,11.99,1.0093472750316856,6.216,120.13513513513513,20.747500000000002,8.05,1,0,0,0,1,0,0,0,0,0,7,1,1
24.47,4.87,0.0,3.24,0.57,0.0,0.0,1036.296667,15.63,1.0093472750316856,6.216,120.13513513513513,20.747500000000002,8.05,1,0,0,0,1,0,0,0,0,0,8,1,1
21.94,8.92,0.0,6.27,0.57,0.0,0.0,1036.38,19.12,1.0093472750316856,6.216,11.0,8.33,8.33,1,0,0,0,1,0,0,0,0,0,9,1,1
20.63,11.77,0.0,7.85,0.55,0.0,0.0,1035.626667,21.67,1.0093472750316856,6.216,101.0,8.950142857142863,8.69,1,0,0,0,1,0,0,0,0,0,10,1,1
19.44,17.37,0.0,7.85,0.48,0.0,0.0,1034.873333,24.67,1.0093472750316856,6.216,149.01612903225808,6.727258064516121,6.14,1,0,0,0,1,0,0,0,0,0,11,1,1
20.62,18.82,0.0,7.85,0.46,0.0,0.0,1034.12,26.04,1.0093472750316856,6.216,102.33333333333333,6.38,6.38,1,0,0,0,1,0,0,0,0,0,12,1,1
22.52,16.02,0.0,8.89,0.51,0.0,0.0,1034.42,24.67,1.0093472750316856,6.216,111.67391304347827,8.357173913043484,7.85,1,0,0,0,1,0,0,0,0,0,13,1,1
24.35,13.46,0.0,10.52,0.58,0.0,0.0,1034.72,23.05,1.0093472750316856,6.216,101.0,8.950142857142863,8.69,1,0,0,0,1,0,0,0,0,0,14,1,1
26.72,10.9,0.0,8.45,0.58,0.0,0.0,1035.02,20.96,1.0093472750316856,6.216,101.0,8.950142857142863,8.69,1,0,0,0,1,0,0,0,0,0,15,1,1
31.17,6.93,0.0,7.09,0.58,0.0,0.0,1035.62,19.36,0.0,6.216,193.5,11.92,11.92,1,0,0,0,1,0,0,0,0,0,16,1,1
32.08,5.71,0.0,7.25,0.63,0.0,0.0,1036.22,17.77,0.0,6.216,99.28947368421052,11.47184210526315,10.59,1,0,0,0,1,0,0,0,0,0,17,1,1
30.53,2.49,0.0,6.01,0.63,0.0,0.0,1036.82,16.37,0.0,6.216,111.92307692307692,14.238461538461536,13.14,1,0,0,0,1,0,0,0,0,0,18,1,1
39.52,3.14,0.0,5.77,0.63,0.0,0.0,1037.18,16.13,0.0,6.216,119.21428571428571,13.703214285714283,11.44,1,0,0,0,1,0,0,0,0,0,19,1,1
58.96,3.36,0.0,5.73,0.64,0.0,0.0,1037.54,15.88,0.0,6.216,99.28947368421052,11.47184210526315,10.59,1,0,0,0,1,0,0,0,0,0,20,1,1
60.74,3.64,0.0,5.51,0.64,0.0,0.0,1037.9,15.65,0.0,6.216,83.80645161290323,9.740000000000004,9.74,1,0,0,0,1,0,0,0,0,0,21,1,1
69.43,1.39,0.0,4.02,0.72,0.0,0.0,1038.073333,11.27,0.0,6.216,149.01612903225808,6.727258064516121,6.14,1,0,0,0,1,0,0,0,0,0,22,1,1
106.19,8.34,0.0,2.47,0.76,0.0,0.0,1038.246667,8.34,0.0,3.73,152.289592760181,2.1869457013574753,1.71,1,0,0,0,1,0,0,0,0,0,23,1,1
142.95,8.34,0.0,2.47,0.76,0.0,0.0,1038.42,8.34,0.0,3.108,157.48800223811946,0.764651567944251,0.0,1,0,0,0,1,0,0,0,0,0,0,2,1
124.15,6.58,0.19,3.24,0.86,0.0,0.0,1038.29,6.58,0.0,3.108,157.48800223811946,0.764651567944251,0.0,1,0,0,0,0,0,0,0,0,1,1,2,1
117.24,6.58,0.19,3.24,0.86,0.0,0.0,1038.16,6.58,0.0,4.974,157.48800223811946,0.764651567944251,0.0,1,0,0,0,0,0,0,0,0,1,2,2,1
107.99,4.83,0.19,-0.38,0.79,0.0,0.0,1038.03,4.83,0.0,4.346,157.48800223811946,0.764651567944251,0.0,1,0,0,0,0,0,0,0,0,1,3,2,1
120.14,4.83,0.19,-0.38,0.79,0.0,0.0,1037.828333,4.83,0.0,4.346,157.48800223811946,0.764651567944251,0.0,1,0,0,0,0,0,0,0,0,1,4,2,1
